City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,jamestown,42.097,-79.2353,18.99,37,97,8.99,US,1675530384
85,nuuk,64.1835,-51.7216,11.01,72,20,23.02,GL,1675531016
86,vaini,-21.2,-175.2,80.15,77,36,9.33,TO,1675530638
87,rock sound,24.9,-76.2,74.91,75,7,14.52,BS,1675531017
88,kapaa,22.0752,-159.319,71.92,95,100,5.75,US,1675530549
89,yellowknife,62.456,-114.3525,-19.68,69,75,6.91,CA,1675530399
90,isangel,-19.55,169.2667,80.71,88,99,9.66,VU,1675530655
91,hervey bay,-25.2986,152.8535,78.3,85,74,5.01,AU,1675531018
92,bambous virieux,-20.3428,57.7575,80.22,78,87,11.23,MU,1675530659
93,nerchinskiy zavod,51.3088,119.61,-26.88,100,71,1.7,RU,1675531019
94,barcelos,41.5388,-8.6151,63.91,65,0,4.0,PT,1675531020
95,stykkisholmur,65.0757,-22.7297,32.63,67,80,23.13,IS,1675531020
96,dingle,10.9995,122.6711,74.44,94,100,8.14,PH,1675530600
97,atuona,-9.8,-139.0333,78.53,74,0,20.13,PF,1675530603
98,buluang,13.3068,123.3425,72.64,94,74,3.6,PH,1675531022
99,souillac,-20.5167,57.5167,78.76,80,57,11.5,MU,1675530592
100,barisal,22.7019,90.3711,66.09,41,95,4.85,BD,1675531025
101,sola,-13.8833,167.55,81.86,74,98,6.38,VU,1675530687
102,dehui,44.5333,125.7,12.31,79,44,10.83,CN,1675531028
103,sabzevar,36.2126,57.6819,40.69,41,39,4.81,IR,1675531029
104,ipixuna,-1.7625,-48.8043,80.76,89,93,4.47,BR,1675530766
105,caravelas,-17.7125,-39.2481,87.78,57,3,13.09,BR,1675531031
106,keningau,5.3378,116.1602,70.74,98,94,2.37,MY,1675530761
107,la ronge,55.1001,-105.2842,7.05,78,100,0.0,CA,1675531035
108,avarua,-21.2078,-159.775,78.85,89,20,13.8,CK,1675530644
109,hacari,8.3233,-73.1489,79.65,44,62,5.37,CO,1675531037
110,sokolo,14.7328,-6.1219,87.55,9,76,8.72,ML,1675531041
111,daliang,22.8504,113.247,67.05,80,100,5.99,CN,1675531042
112,price,39.5994,-110.8107,27.66,63,0,0.0,US,1675530776
113,bengkulu,-3.8004,102.2655,75.2,90,82,4.85,ID,1675530651
114,malanje,-9.5402,16.341,66.61,92,47,7.29,AO,1675531045
115,codrington,-38.2667,141.9667,58.46,78,99,8.46,AU,1675530704
116,aranos,-24.1333,19.1167,86.25,32,97,3.53,NA,1675531050
117,fremont,37.5483,-121.9886,55.38,92,100,1.01,US,1675531052
118,hilo,19.7297,-155.09,72.28,90,75,4.61,US,1675530654
119,najran,17.4924,44.1277,69.93,34,16,4.54,SA,1675530766
120,kahului,20.8947,-156.47,74.84,77,40,19.57,US,1675530611
121,tiksi,71.6872,128.8694,-14.78,99,100,4.0,RU,1675530657
122,constitucion,-35.3333,-72.4167,69.12,72,52,10.02,CL,1675530849
123,harur,12.0667,78.5,70.45,70,1,5.23,IN,1675531054
124,puerto ayora,-0.7393,-90.3518,85.96,86,24,5.99,EC,1675530595
125,coihaique,-45.5752,-72.0662,84.15,30,0,6.91,CL,1675530884
126,lianzhou,24.7811,112.3825,51.1,87,100,2.95,CN,1675531056
127,nabire,-3.3667,135.4833,74.89,96,100,0.83,ID,1675531056
128,port lincoln,-34.7333,135.8667,59.04,79,2,4.72,AU,1675530641
129,kruisfontein,-34.0033,24.7314,72.12,74,60,7.4,ZA,1675531058
130,san quintin,30.4833,-115.95,60.96,57,0,3.49,MX,1675530612
131,bilma,18.6853,12.9164,79.92,12,79,5.95,NE,1675530818
132,guerrero negro,27.9769,-114.0611,63.34,56,0,6.04,MX,1675530821
133,poya,-21.35,165.15,78.12,89,73,4.61,NC,1675531060
134,lorengau,-2.0226,147.2712,80.51,72,100,2.37,PG,1675530691
135,lai,9.3952,16.2989,91.47,12,64,5.23,TD,1675531060
136,port alfred,-33.5906,26.891,76.17,85,20,8.01,ZA,1675530638
137,katherine,-14.4667,132.2667,73.72,94,29,3.44,AU,1675530878
138,balakovo,52.0278,47.8007,11.44,98,85,5.35,RU,1675531062
139,aripuana,-9.1667,-60.6333,84.13,76,93,0.96,BR,1675531062
140,faanui,-16.4833,-151.75,81.18,73,98,15.1,PF,1675530651
141,kalangala,-0.3089,32.225,74.55,68,71,4.72,UG,1675531063
142,tila,17.4,-92.4833,63.36,100,100,2.3,MX,1675531064
143,thompson,55.7435,-97.8558,-7.49,95,92,3.06,CA,1675530562
144,thiruvananthapuram,8.4833,76.9167,82.38,78,40,2.3,IN,1675531064
145,hambantota,6.1241,81.1185,76.95,86,26,13.04,LK,1675531065
146,coahuayana,18.7333,-103.6833,87.96,26,0,3.42,MX,1675531065
147,mataura,-46.1927,168.8643,68.04,79,98,3.74,NZ,1675530641
148,acajutla,13.5928,-89.8275,87.21,46,6,8.88,SV,1675531067
149,tessalit,20.1986,1.0114,73.24,9,17,13.94,ML,1675531068
150,acapulco,16.8634,-99.8901,89.42,29,0,0.0,MX,1675530658
151,praia da vitoria,38.7333,-27.0667,63.75,88,75,12.5,PT,1675531069
152,upernavik,72.7868,-56.1549,-7.06,97,100,10.2,GL,1675530601
153,clyde river,70.4692,-68.5914,-14.93,89,100,3.71,CA,1675530682
